scope_group,bucket_start,bucket_end,bucket_label,file_count
skills,380,389,380-389,1
skills,390,399,390-399,0
skills,400,409,400-409,0
skills,410,419,410-419,1
skills,420,429,420-429,0
skills,430,439,430-439,0
skills,440,449,440-449,0
skills,450,459,450-459,0
skills,460,469,460-469,0
skills,470,479,470-479,0
skills,480,489,480-489,0
skills,490,499,490-499,0
skills,500,509,500-509,0
skills,510,519,510-519,0
skills,520,529,520-529,0
skills,530,539,530-539,0
skills,540,549,540-549,0
skills,550,559,550-559,0
skills,560,569,560-569,0
skills,570,579,570-579,0
skills,580,589,580-589,0
skills,590,599,590-599,0
skills,600,609,600-609,0
skills,610,619,610-619,0
skills,620,629,620-629,0
skills,630,639,630-639,0
skills,640,649,640-649,0
skills,650,659,650-659,0
skills,660,669,660-669,0
skills,670,679,670-679,0
skills,680,689,680-689,0
skills,690,699,690-699,0
skills,700,709,700-709,0
skills,710,719,710-719,1
skills,720,729,720-729,0
skills,730,739,730-739,0
skills,740,749,740-749,0
skills,750,759,750-759,0
skills,760,769,760-769,0
skills,770,779,770-779,0
skills,780,789,780-789,0
skills,790,799,790-799,0
skills,800,809,800-809,0
skills,810,819,810-819,0
skills,820,829,820-829,0
skills,830,839,830-839,0
skills,840,849,840-849,0
skills,850,859,850-859,0
skills,860,869,860-869,0
skills,870,879,870-879,0
skills,880,889,880-889,0
skills,890,899,890-899,0
skills,900,909,900-909,0
skills,910,919,910-919,0
skills,920,929,920-929,0
skills,930,939,930-939,0
skills,940,949,940-949,0
skills,950,959,950-959,0
skills,960,969,960-969,0
skills,970,979,970-979,0
skills,980,989,980-989,0
skills,990,999,990-999,0
skills,1000,1009,1000-1009,0
skills,1010,1019,1010-1019,0
skills,1020,1029,1020-1029,0
skills,1030,1039,1030-1039,0
skills,1040,1049,1040-1049,0
tools,0,9,0-9,1
tools,10,19,10-19,2
tools,20,29,20-29,3
tools,30,39,30-39,4
tools,40,49,40-49,7
tools,50,59,50-59,5
tools,60,69,60-69,3
tools,70,79,70-79,1
tools,80,89,80-89,2
tools,90,99,90-99,3
tools,100,109,100-109,2
tools,110,119,110-119,1
tools,120,129,120-129,2
tools,130,139,130-139,2
tools,140,149,140-149,1
tools,150,159,150-159,2
tools,160,169,160-169,2
tools,170,179,170-179,0
tools,180,189,180-189,0
tools,190,199,190-199,0
tools,200,209,200-209,0
tools,210,219,210-219,0
tools,220,229,220-229,0
tools,230,239,230-239,0
tools,240,249,240-249,2
tools,250,259,250-259,1
tools,260,269,260-269,0
tools,270,279,270-279,0
tools,280,289,280-289,1
tools,290,299,290-299,1
tools,300,309,300-309,0
tools,310,319,310-319,0
tools,320,329,320-329,0
tools,330,339,330-339,1
tools,340,349,340-349,0
tools,350,359,350-359,0
tools,360,369,360-369,0
tools,370,379,370-379,1
tools,380,389,380-389,0
tools,390,399,390-399,0
tools,400,409,400-409,0
tools,410,419,410-419,0
tools,420,429,420-429,0
tools,430,439,430-439,0
tools,440,449,440-449,0
tools,450,459,450-459,0
tools,460,469,460-469,0
tools,470,479,470-479,0
tools,480,489,480-489,0
tools,490,499,490-499,1
tools,500,509,500-509,0
tools,510,519,510-519,0
tools,520,529,520-529,1
tools,530,539,530-539,0
tools,540,549,540-549,0
tools,550,559,550-559,0
tools,560,569,560-569,0
tools,570,579,570-579,0
tools,580,589,580-589,0
tools,590,599,590-599,0
tools,600,609,600-609,0
tools,610,619,610-619,0
tools,620,629,620-629,0
tools,630,639,630-639,0
tools,640,649,640-649,0
tools,650,659,650-659,0
tools,660,669,660-669,0
tools,670,679,670-679,0
tools,680,689,680-689,0
tools,690,699,690-699,0
tools,700,709,700-709,0
tools,710,719,710-719,0
tools,720,729,720-729,0
tools,730,739,730-739,0
tools,740,749,740-749,0
tools,750,759,750-759,0
tools,760,769,760-769,0
tools,770,779,770-779,0
tools,780,789,780-789,0
tools,790,799,790-799,0
tools,800,809,800-809,0
tools,810,819,810-819,0
tools,820,829,820-829,0
tools,830,839,830-839,0
tools,840,849,840-849,0
tools,850,859,850-859,0
tools,860,869,860-869,0
tools,870,879,870-879,0
tools,880,889,880-889,0
tools,890,899,890-899,0
tools,900,909,900-909,0
tools,910,919,910-919,0
tools,920,929,920-929,0
tools,930,939,930-939,0
tools,940,949,940-949,0
tools,950,959,950-959,0
tools,960,969,960-969,0
tools,970,979,970-979,0
tools,980,989,980-989,0
tools,990,999,990-999,0
tools,1000,1009,1000-1009,0
tools,1010,1019,1010-1019,0
tools,1020,1029,1020-1029,0
tools,1030,1039,1030-1039,0
tools,1040,1049,1040-1049,1
